video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=XGiuFBx7CaA&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@newyorker,The New Yorker,The Lasting Fear of Flint’s Water Crisis,9.9K,7 years,Subscribe to The Scene: http://bit.ly/subthescene The Lasting Fear of Flint's Water Crisis Producer: Zackary Canepari and Jessica ...,2024-01-27 23:26:56.265460
/watch?v=JcGV_pbWEjs&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@BBCNews,BBC News,Flint: Poisoned drinking water causing irreparable brain damage - BBC News,84K,8 years,"In the U.S. Flint, Michigan is at the centre of an environmental disaster after its water was found to contain high levels of lead.",2024-01-27 23:26:56.268724
/watch?v=EsdTdMYD5YE&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ClickOnDetroitLocal4WDIV,Click On Detroit | Local 4 | WDIV,Flint water crisis: A tale of two families,46,5 years,"YOU SEE, SHE MOVED OUT OF FLINT TO FLINT TOWNSHIP TO PROTECT HER CHILDREN BUT WAS TOO LATE.",2024-01-27 23:26:56.272366
/watch?v=cql9pZDELjA&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ajplus,AJ+,Flint water crisis: This teen delivers clean water | AJ+,5.9K,7 years,"AJ+ is in Flint, Michigan, where the water crisis is still impacting residents. We met up with a 17-year-old recently employed by ...",2024-01-27 23:26:56.275613
/watch?v=bRtCJP02CsY&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@msnbc,MSNBC,"Hillary Clinton Outraged Over Flint, Michigan Water Crisis | MSNBC",18K,8 years,"During the NBC News-YouTube Democratic debate, Hillary Clinton calls out the governor of Michigan for stonewalling requests ...",2024-01-27 23:26:56.278493
/watch?v=qkZ54Dy5dG8&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@StudentReportingLabs,PBS NewsHour Student Reporting Labs,Flint Water Crisis Update,3K,4 years,"Students explore why the city of Flint Michigan is still having problems with lead in its water. Story produced by: Aidan Warneck, ...",2024-01-27 23:26:56.282039
/watch?v=7tvm8A0J3lg&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@GMA,Good Morning America,"5 years into water crisis, Little Miss Flint hasn't given up l GMA",32K,4 years,#GMA #LittleMissFlint #Michigan #inspirational #goodmorningamerica #EarthDay.,2024-01-27 23:26:56.284973
/watch?v=28KFwpMT1Xs&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@nbc25,Mid-Michigan now on FOX66 & NBC25,Flint water crisis; 8 years later,2K,1 year,"Today marks 8 years since Flint switched its water source to the Flint River, ultimately leading to the water crisis. At the time, Flint ...",2024-01-27 23:26:56.288621
/watch?v=obEJA0kW8uI&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@FOX2Detroit,FOX 2 Detroit,"Flint residents demand action, new deadline to replace lead pipes",932,11 months,Activists are fighting for Flint residents who are still scared to drink the city's water. Lead service lines still aren't completely ...,2024-01-27 23:26:56.291525
/watch?v=oCd0fGiWlio&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@WRAL5,WRAL,MI: AG says 'No one is criminally responsible' in Flint Water Crisis,217,2 months,"About WRAL-TV: WRAL is your Raleigh, North Carolina news source. Check out our videos for the latest news in Raleigh, local ...",2024-01-27 23:26:56.294472
/watch?v=YP_iL_cT2NM&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@theGrioPolitics,theGrio Politics,What’s Happened Since the Flint Water Crisis?,3.6K,2 years,"After lead was found in the water and the impact on the community was tremendous, many may have forgotten about the Flint ...",2024-01-27 23:26:56.297281
